age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
56,unknown,married,high.school,no,yes,no,cellular,may,fri,473,5,999,3,nonexistent,-0.8,93.076,-44.0,1.842,5031.7
69,management,single,illiterate,no,yes,yes,telephone,jun,tue,1279,6,999,2,nonexistent,0.9,93.483,-43.9,1.316,5177.9
46,technician,single,professional.course,no,yes,yes,cellular,jun,mon,843,1,15,2,nonexistent,-2.6,94.091,-40.6,4.04,5047.5
32,entrepreneur,divorced,basic.4y,no,no,no,cellular,jul,fri,3598,3,999,1,nonexistent,-0.9,94.476,-46.6,1.106,5015.9
60,technician,married,high.school,no,no,no,telephone,oct,thu,4912,7,999,0,nonexistent,-2.8,94.724,-44.8,3.707,5145.2
25,housemaid,married,basic.9y,no,yes,no,cellular,jul,tue,4941,9,10,0,nonexistent,-2.2,93.129,-39.8,2.254,4984.5
78,unemployed,single,basic.6y,no,no,no,telephone,aug,fri,3713,8,999,2,nonexistent,1.0,92.314,-32.5,2.531,5023.3
38,entrepreneur,single,illiterate,no,yes,no,cellular,may,tue,4470,4,999,4,failure,1.2,93.748,-34.8,3.595,5143.2
56,student,divorced,professional.course,no,yes,no,cellular,aug,mon,3531,6,10,0,nonexistent,-2.7,92.554,-45.7,4.215,5020.5
75,entrepreneur,single,high.school,no,yes,no,telephone,oct,fri,574,9,999,1,nonexistent,-1.3,94.519,-47.1,2.253,4966.3
36,unemployed,married,university.degree,no,yes,no,telephone,jun,tue,279,7,999,4,nonexistent,0.2,94.47,-45.4,1.239,5171.4
40,blue-collar,single,high.school,no,no,yes,telephone,oct,thu,767,2,999,1,nonexistent,-0.2,93.023,-43.2,3.284,5056.6
28,student,single,professional.course,no,no,no,telephone,aug,fri,3585,6,999,2,nonexistent,-0.1,92.089,-40.2,4.758,5086.4
28,technician,married,basic.9y,no,yes,no,telephone,jun,mon,4689,8,999,1,nonexistent,-0.5,93.746,-29.0,1.445,5110.3
41,management,married,professional.course,no,yes,yes,cellular,may,wed,603,1,999,0,nonexistent,-2.5,94.754,-49.6,2.712,5116.2
70,self-employed,married,basic.9y,no,yes,no,cellular,jul,wed,2776,1,999,3,success,0.4,92.205,-34.6,0.835,4965.0
53,unknown,married,university.degree,no,yes,no,cellular,may,tue,2566,1,999,1,nonexistent,-0.3,93.969,-47.4,1.609,5181.9
57,unknown,single,professional.course,no,no,no,telephone,jul,fri,1516,4,999,0,nonexistent,-0.8,94.925,-31.9,3.142,5026.2
41,management,married,high.school,no,no,no,cellular,may,fri,2551,2,999,3,nonexistent,-3.0,94.322,-27.7,3.482,5139.0
20,technician,married,basic.4y,no,no,no,cellular,jun,mon,4523,7,999,1,nonexistent,-2.6,93.843,-49.3,1.517,5136.1
39,housemaid,married,basic.4y,no,yes,yes,telephone,jun,wed,1526,4,999,4,nonexistent,0.3,94.478,-28.8,4.521,5137.0
70,unknown,married,university.degree,no,no,no,cellular,jun,thu,1490,7,999,1,failure,-1.6,92.523,-34.6,3.86,5210.6
19,self-employed,married,unknown,no,yes,no,cellular,jul,wed,44,2,999,1,nonexistent,-0.7,94.6,-37.2,3.414,5083.3
41,unknown,single,unknown,no,no,yes,cellular,jun,fri,3466,3,999,1,nonexistent,0.8,94.874,-36.6,1.29,5099.1
61,technician,married,high.school,no,yes,no,telephone,oct,thu,2248,1,999,4,nonexistent,-2.6,94.682,-28.0,2.51,4992.0
47,retired,married,basic.4y,no,yes,no,telephone,jul,thu,3194,9,999,1,nonexistent,-2.5,92.299,-45.6,4.203,5053.4
55,blue-collar,married,university.degree,no,yes,yes,cellular,jun,mon,1542,6,999,4,nonexistent,-1.5,92.353,-49.0,3.478,4964.7
19,retired,married,basic.9y,no,yes,no,telephone,jun,tue,4124,7,999,1,nonexistent,-0.2,94.82,-29.0,0.613,5047.9
77,unknown,married,high.school,no,no,no,cellular,may,tue,1506,4,999,3,nonexistent,-2.6,93.781,-35.9,1.659,5095.6
38,student,married,unknown,no,no,no,telephone,oct,mon,1687,4,999,3,failure,-0.9,92.814,-46.3,3.84,4976.8
50,admin.,single,illiterate,no,no,no,telephone,oct,fri,2370,8,999,4,nonexistent,-0.1,94.349,-33.2,2.326,5142.3
29,technician,single,basic.9y,no,yes,no,cellular,jul,fri,4704,1,999,3,nonexistent,-1.9,92.416,-28.2,2.564,5080.1
75,services,married,high.school,no,yes,yes,cellular,oct,tue,2419,7,0,1,nonexistent,-1.7,92.774,-49.7,2.492,4977.6
39,services,married,basic.9y,no,no,no,telephone,jun,wed,1453,4,999,0,nonexistent,0.8,94.147,-34.4,3.826,5077.5
78,entrepreneur,divorced,basic.9y,no,no,no,telephone,jul,mon,1322,4,999,0,nonexistent,-2.5,92.102,-41.2,2.239,4999.5
61,management,single,basic.4y,no,yes,no,cellular,aug,wed,2638,8,999,1,nonexistent,0.3,93.011,-48.2,3.808,5187.3
42,management,married,illiterate,no,no,no,cellular,may,mon,2634,6,999,3,failure,-2.5,92.383,-41.8,4.607,5099.5
66,unemployed,single,high.school,no,no,no,cellular,may,mon,999,5,999,2,nonexistent,-1.3,92.914,-27.6,1.214,5115.2
44,management,single,professional.course,no,no,no,telephone,aug,tue,1683,9,5,0,nonexistent,0.1,94.681,-42.2,4.903,5056.0
76,retired,single,basic.4y,no,yes,no,cellular,jul,tue,2503,2,999,3,nonexistent,-1.6,93.498,-35.4,2.085,5059.7
59,blue-collar,married,basic.9y,no,no,no,telephone,aug,wed,2802,7,999,4,nonexistent,-3.0,92.252,-42.7,4.764,5022.4
45,technician,married,basic.9y,no,yes,no,telephone,oct,fri,3892,2,10,3,nonexistent,-1.7,92.54,-41.7,2.718,5169.8
77,housemaid,married,unknown,no,no,no,cellular,jun,thu,3088,5,999,0,nonexistent,-2.3,94.316,-38.2,3.367,4963.6
33,entrepreneur,divorced,professional.course,no,yes,no,telephone,aug,wed,495,3,999,2,nonexistent,-2.7,92.339,-27.8,4.074,5109.1
32,student,single,unknown,no,no,no,telephone,aug,mon,499,9,999,2,nonexistent,-0.5,93.471,-41.3,1.502,5007.2
79,self-employed,married,professional.course,no,no,no,telephone,oct,thu,4685,6,999,0,nonexistent,-3.2,93.27,-39.7,2.142,5188.5
79,student,divorced,basic.9y,no,yes,no,cellular,jul,thu,2326,6,999,1,nonexistent,0.7,92.78,-28.7,2.015,5142.5
64,technician,divorced,professional.course,no,no,no,telephone,jun,thu,4439,3,999,0,nonexistent,0.2,94.794,-38.9,4.268,4994.7
79,admin.,divorced,illiterate,no,yes,no,cellular,jun,thu,3318,9,999,4,nonexistent,0.2,92.497,-31.0,0.726,5074.6
68,management,single,basic.6y,no,yes,no,telephone,may,thu,2487,7,999,3,failure,0.2,93.642,-49.3,1.878,5090.3
61,unemployed,divorced,unknown,no,yes,no,telephone,jun,wed,923,5,5,0,nonexistent,-2.1,93.415,-46.8,2.459,5224.9
72,self-employed,married,unknown,no,yes,no,telephone,jun,tue,2842,7,999,4,nonexistent,-2.8,92.149,-33.8,0.675,5126.1
69,retired,single,basic.4y,no,no,no,cellular,jun,tue,4039,2,999,1,failure,1.4,94.487,-31.3,2.105,5161.9
74,technician,single,illiterate,no,yes,no,cellular,jun,mon,1022,6,999,2,nonexistent,1.4,93.202,-31.5,2.278,5156.0
20,admin.,married,high.school,no,no,no,telephone,oct,fri,4671,5,999,1,nonexistent,1.2,94.442,-36.9,1.181,5078.4
54,retired,married,unknown,no,yes,no,telephone,may,wed,2350,6,999,0,nonexistent,-0.1,92.092,-44.5,4.604,5125.8
68,admin.,divorced,professional.course,no,no,no,telephone,aug,thu,4590,8,999,2,nonexistent,-1.2,93.246,-44.2,4.355,5016.9
24,management,married,professional.course,no,yes,no,telephone,may,tue,3071,3,999,3,nonexistent,-2.5,94.058,-45.2,2.985,5158.4
38,unknown,single,basic.6y,no,yes,no,cellular,jul,mon,816,8,999,0,nonexistent,-0.8,94.428,-39.3,4.931,5056.3
26,retired,married,high.school,no,no,no,telephone,aug,thu,556,9,999,2,nonexistent,-2.0,92.804,-36.8,4.283,5045.3
56,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,4153,5,0,0,nonexistent,-2.5,92.009,-49.8,0.839,5186.7
35,services,married,high.school,no,no,yes,cellular,may,thu,4970,5,999,3,nonexistent,0.3,93.422,-42.1,1.248,5037.0
21,student,married,unknown,no,yes,no,telephone,may,thu,1405,7,999,0,nonexistent,-2.9,92.116,-29.5,1.54,4972.6
42,blue-collar,single,unknown,no,yes,no,telephone,may,tue,3048,4,999,4,nonexistent,0.3,94.813,-40.4,1.274,5178.5
77,self-employed,married,basic.4y,no,no,no,cellular,may,tue,623,3,10,1,nonexistent,-2.3,92.613,-37.4,3.273,4979.2
31,entrepreneur,married,professional.course,no,no,no,telephone,may,thu,3673,3,0,0,nonexistent,-3.4,94.03,-39.0,3.687,5012.8
67,unknown,married,basic.4y,no,yes,yes,telephone,oct,tue,3313,9,999,4,nonexistent,-2.6,93.55,-46.5,4.566,4983.7
75,services,married,high.school,no,no,no,cellular,oct,wed,3398,1,999,4,nonexistent,0.7,93.791,-47.6,4.159,4967.9
26,blue-collar,married,professional.course,no,yes,no,telephone,aug,thu,265,9,15,0,nonexistent,-0.9,94.85,-44.5,1.295,5172.3
43,technician,single,unknown,no,yes,no,telephone,jun,tue,2854,8,999,2,nonexistent,0.3,94.451,-34.2,0.748,5153.6
